"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"288","RT @cpa_tradereform: BUTLER EAGLE: FAST TRACK: THE WRONG WAY TO DO TRADE http://t.co/ttJTy8fcYT #StopFastTrack #NoTPP #SmartTrade http://t.…",FALSE,0,NA,2015-03-31 15:46:36,FALSE,NA,"582932012186476544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","buell003",2,TRUE,FALSE,NA,NA
"289","RT @cpa_tradereform: BUTLER EAGLE: FAST TRACK: THE WRONG WAY TO DO TRADE http://t.co/ttJTy8fcYT #StopFastTrack #NoTPP #SmartTrade http://t.…",FALSE,0,NA,2015-03-31 15:46:03,FALSE,NA,"582931873388716032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZaRdOz420WPN",2,TRUE,FALSE,NA,NA
"290","RT @AnonUK: Welcome to the Internet under the #TPP. Don't let it happen @RonWyden! #StopFastTrack now! http://t.co/mRU5QedzG0 http://t.co/t…",FALSE,0,NA,2015-03-31 15:45:39,FALSE,NA,"582931772427481091",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","edinburghvan",29,TRUE,FALSE,NA,NA
"291","RT @AFLCIO: MUST READ on #StopFastTrack: Democrats in US Congress raise concerns about trade agreement http://t.co/kjTEUVAdxW @lateline",FALSE,0,NA,2015-03-31 15:43:46,FALSE,NA,"582931299050098688",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nekaro",4,TRUE,FALSE,NA,NA
"292","RT @AFLCIO: MUST READ on #StopFastTrack: Democrats in US Congress raise concerns about trade agreement http://t.co/kjTEUVAdxW @lateline",FALSE,0,NA,2015-03-31 15:42:56,FALSE,NA,"582931088353394689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","delane392",4,TRUE,FALSE,NA,NA
"293","RT @AFLCIO: MUST READ on #StopFastTrack: Democrats in US Congress raise concerns about trade agreement http://t.co/kjTEUVAdxW @lateline",FALSE,0,NA,2015-03-31 15:42:45,FALSE,NA,"582931042895552512",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Red_Sox_Fan777",4,TRUE,FALSE,NA,NA
"294","MUST READ on #StopFastTrack: Democrats in US Congress raise concerns about trade agreement http://t.co/kjTEUVAdxW @lateline",FALSE,3,NA,2015-03-31 15:42:20,FALSE,NA,"582930939254276096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AFLCIO",4,FALSE,FALSE,NA,NA
"295","RT @AnonUK: Welcome to the Internet under the #TPP. Don't let it happen @RonWyden! #StopFastTrack now! http://t.co/mRU5QedzG0 http://t.co/t…",FALSE,0,NA,2015-03-31 15:34:41,FALSE,NA,"582929011451379713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","777CHACO",29,TRUE,FALSE,NA,NA
"296","RT @AnonUK: Welcome to the Internet under the #TPP. Don't let it happen @RonWyden! #StopFastTrack now! http://t.co/mRU5QedzG0 http://t.co/t…",FALSE,0,NA,2015-03-31 15:34:34,FALSE,NA,"582928981449527296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","whoserik",29,TRUE,FALSE,NA,NA
"297","RT @AnonUK: Welcome to the Internet under the #TPP. Don't let it happen @RonWyden! #StopFastTrack now! http://t.co/mRU5QedzG0 http://t.co/t…",FALSE,0,NA,2015-03-31 15:33:24,FALSE,NA,"582928688582303744",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","edwardmba",29,TRUE,FALSE,NA,NA
"298","RT @foe_us: ICYMI: @wwaren1 talked with @wwwfoecouk on the massive implications of the EU-US trade deal #stopfasttrack http://t.co/eG47YFa7…",FALSE,0,NA,2015-03-31 15:21:28,FALSE,NA,"582925686781792256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","femmekatz",4,TRUE,FALSE,NA,NA
"299","RT @PoliTecs: Welcome to the Internet under the #TPP. Don't let it happen @RonWyden! #StopFastTrack now! http://t.co/jqXjdWWGEp http://t.co…",FALSE,0,NA,2015-03-31 15:15:32,FALSE,NA,"582924194024947713",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","cheryl_abe",3,TRUE,FALSE,NA,NA
"300","RT @PoliTecs: Welcome to the Internet under the #TPP. Don't let it happen @RonWyden! #StopFastTrack now! http://t.co/jqXjdWWGEp http://t.co…",FALSE,0,NA,2015-03-31 15:12:15,FALSE,NA,"582923364794261505",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NanaBubbie",3,TRUE,FALSE,NA,NA
"301","RT @PoliTecs: Welcome to the Internet under the #TPP. Don't let it happen @RonWyden! #StopFastTrack now! http://t.co/jqXjdWWGEp http://t.co…",FALSE,0,NA,2015-03-31 15:07:34,FALSE,NA,"582922187125837824",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lr3031",3,TRUE,FALSE,NA,NA
"302","ICYMI: @nsroka of @DFAaction joined @TheDailyRep to discuss #HarryReid &amp; #TPP. #StopFastTrack #StopTPP http://t.co/paE9ahiFvU",FALSE,2,NA,2015-03-31 14:51:38,FALSE,NA,"582918179988488192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AM950Radio",0,FALSE,FALSE,NA,NA
"303","RT @kmspotlight: Welcome to the Internet under the #TPP. Don't let it happen @RonWyden! #StopFastTrack now! http://t.co/B7wALAFKPZ http://t…",FALSE,0,NA,2015-03-31 14:51:07,FALSE,NA,"582918047767359488",NA,"<a href=""http://QuintessencePublications.com"" rel=""nofollow"">QuintessenceBooks </a>","loveleov",3,TRUE,FALSE,NA,NA
"304","Transportation unions make their case against perverse fast track trade regime http://t.co/VUez5lv7xi #StopFastTrack #1u",FALSE,0,NA,2015-03-31 14:49:22,FALSE,NA,"582917605985386497",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EdWytkind",0,FALSE,FALSE,NA,NA
"305","RT @AFLCIO: Legislators mobilize against Trans-Pacific Partnership in Ohio http://t.co/Ol8rrqNIbp #stopfasttrack",FALSE,0,NA,2015-03-31 14:48:29,FALSE,NA,"582917386598248448",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","hoosteen",7,TRUE,FALSE,NA,NA
"306","RT @AFLCIO: Legislators mobilize against Trans-Pacific Partnership in Ohio http://t.co/Ol8rrqNIbp #stopfasttrack",FALSE,0,NA,2015-03-31 14:46:30,FALSE,NA,"582916884720422912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kweidleman",7,TRUE,FALSE,NA,NA
"307","RT @AFLCIO: Legislators mobilize against Trans-Pacific Partnership in Ohio http://t.co/Ol8rrqNIbp #stopfasttrack",FALSE,0,NA,2015-03-31 14:45:55,FALSE,NA,"582916738242781184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","asherhuey",7,TRUE,FALSE,NA,NA
