"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1425","Thank you sane people! @RonWyden @SenatorCantwell @PattyMurray http://t.co/FruG0rx7zz",FALSE,1,NA,2015-03-29 17:39:07,FALSE,NA,"582235551417262080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","seedywumps",1,FALSE,FALSE,NA,NA
"1426","Sen @RonWyden have you seen the leaked #TPP text? Don't betray the Internet! #NoFastTrack! http://t.co/lkk5AiMOnu http://t.co/GNpbaSqNYz",FALSE,0,NA,2015-03-29 17:21:00,FALSE,NA,"582230990250070017",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","metta828",1,FALSE,FALSE,NA,NA
"1427","RT @PCGTW: #Progressive groups tell @RonWyden #NoFastTrack for secret #TPP: http://t.co/NAL7ljplot @sierraclub @AFLCIO #p2 #1u http://t.co/…",FALSE,0,NA,2015-03-29 17:09:01,FALSE,NA,"582227975736692736",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","maxrafaelwaller",11,TRUE,FALSE,NA,NA
"1428","RT @fightfortheftr: Senator @RonWyden, if #FastTrack is so good for the public why are you so quiet about it? Not tweeting about it, negoti…",FALSE,0,NA,2015-03-29 17:07:51,FALSE,NA,"582227681309233152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","search4rr",59,TRUE,FALSE,NA,NA
"1429","RT @NumberOneHoward: @RonWyden @SenSanders Kind of like jiggling the toilet handle while the house is burning down around you as GOP Congre…",FALSE,0,NA,2015-03-29 17:05:22,FALSE,NA,"582227057859543041",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Iam4light1Karen",1,TRUE,FALSE,NA,NA
"1430","RT @Cheryl_Lyone: @RonWyden @Pharboe YESsss we say NO to the TPP.... please listen to the people---we are aware #muchlove",FALSE,0,NA,2015-03-29 17:05:10,FALSE,NA,"582227008568033280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Iam4light1Karen",1,TRUE,FALSE,NA,NA
"1431","RT @Cheryl_Lyone: @pharbo @RonWyden Sen @RonWyden have you seen the leaked #TPP text? Don't betray the Internet! #NoFastTrack! http://t.co/…",FALSE,0,NA,2015-03-29 17:05:02,FALSE,NA,"582226974069903360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Iam4light1Karen",1,TRUE,FALSE,NA,NA
"1432","@RonWyden @ANGELORAPHAELO @SenSanders Now just need help2pay4energy efficiency home.",FALSE,0,"RonWyden",2015-03-29 17:04:50,FALSE,"581190777361068032","582226924631691264","250188760","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Iam4light1Karen",0,FALSE,FALSE,"0","0"
"1433","RT @RonWyden: Joined @SenSanders in introducing a bill that saves homeowners $ on their electricity bills by making their homes more energy…",FALSE,0,NA,2015-03-29 17:04:18,FALSE,NA,"582226790573301760",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Iam4light1Karen",36,TRUE,FALSE,NA,NA
"1434","RT @RonWyden: Standing with @SenSanders to fight off #Medicaid cuts in the #GOPbudget. #SenateBudget http://t.co/FOxdthnRae",FALSE,0,NA,2015-03-29 17:02:56,FALSE,NA,"582226444161519617",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","GOPsoundboard",249,TRUE,FALSE,NA,NA
